Energy,Spectral_spread,Spectral_rollof,MFCC2,MFCC3,Class
0.0329,0.163,0.309,-0.213,-1.84,Cry
0.0327,0.165,0.398,-0.234,-1.89,Cry
0.0364,0.164,0.4,-0.176,-1.84,Cry
0.0369,0.165,0.397,-0.123,-1.5,Cry
0.0352,0.167,0.407,-0.278,-1.81,Cry
0.0363,0.165,0.35,-0.25,-1.83,Cry
0.0338,0.164,0.304,-0.23,-1.86,Cry
0.0336,0.166,0.394,-0.181,-1.8,Cry
0.0348,0.164,0.403,-0.227,-1.84,Cry
0.0379,0.165,0.395,-0.248,-1.6,Cry
0.0362,0.167,0.409,-0.322,-1.84,Cry
0.0357,0.164,0.367,-0.222,-1.81,Cry
