ZCR,Energy,Spectral_centroid,Spectral_spread,Spectral_rollof,MFCC1,MFCC2,MFCC3,MFCC5,MFCC6,MFCC7,Chroma_vector11,Class
0.0751,0.0141,0.125,0.092,0.184,-34.2,-1.89,-0.082,-0.144,-0.86,-0.0671,5.89E-05,Cry
0.0693,0.0151,0.119,0.1,0.126,-30.7,-0.941,-0.356,-0.554,-0.987,-0.184,0.000129,Cry
0.0647,0.0215,0.0921,0.103,0.042,-28,-1.8,-0.0444,-0.575,-0.406,-0.04,9.15E-05,Cry
0.0628,0.0277,0.114,0.128,0.109,-21.1,0.314,-0.437,0.207,-0.13,0.109,0.000387,Cry
0.0655,0.0338,0.121,0.137,0.109,-21.4,0.422,-0.406,0.243,0.0484,0.0565,0.000189,Cry
0.034,0.0231,0.148,0.153,0.0992,-19.3,2.81,0.17,-0.386,-0.0963,0.301,0.00456,Cry
0.0649,0.0338,0.169,0.155,0.141,-19.1,2.75,0.082,-0.335,-0.162,0.369,0.000524,Cry
0.034,0.0304,0.135,0.149,0.0933,-18.3,2.37,0.357,-0.272,-0.195,0.213,0.00094,Cry
0.067,0.0411,0.158,0.151,0.114,-18.2,2.41,0.375,-0.0254,-0.347,0.254,0.00258,Cry
0.00795,0.0737,0.062,0.14,0.0037,-17.1,2.64,0.32,-0.329,-0.219,0.27,0.0003,Cry
0.0194,0.0311,0.112,0.151,0.0655,-18.4,2.6,-0.225,-0.405,0.00454,0.264,0.00484,Cry
0.0312,0.0254,0.131,0.146,0.0769,-19.2,2.48,0.541,0.00019,-0.366,0.363,0.00244,Cry
0.0311,0.0435,0.123,0.148,0.0798,-18.4,2.67,0.062,-0.275,-0.223,0.236,0.0072,Cry
0.0451,0.0469,0.137,0.143,0.0909,-18.6,3,-0.119,-0.426,-0.113,0.131,0.00819,Cry
0.0306,0.0355,0.125,0.139,0.0837,-18.8,2.89,-0.00552,-0.391,-0.254,0.229,0.0105,Cry
0.0305,0.0361,0.136,0.145,0.0917,-18.5,2.81,-0.00315,-0.256,-0.286,0.176,0.0018,Cry
0.0151,0.0316,0.0775,0.134,0.0297,-18.4,2.46,-0.0418,-0.387,-0.384,0.129,0.00359,Cry
